Couplage,<Magnetisation>,<Energie>,Var(Energie)
0.412,0.07015999999999999,-0.9949034857142857,0.013270124181678278
0.0,-0.0004142857142857138,0.0,0.0
0.419,0.14386285714285713,-1.0626330828571429,0.016038462031181533
0.44060000000000116,-0.3529564285714285,-1.251262457714289,0.017435797776851114
0.48500000000000004,0.8909857142857143,-1.6481755000000002,0.007992306024035667
0.416,-0.1508135714285714,-1.0204884114285713,0.013460217902276694
0.3950000000000001,-0.010057857142857136,-0.854532842857143,0.008611632691346571
0.4424000000000013,-0.3867878571428572,-1.2902507520000037,0.01711182931313071
0.449,-0.761855,-1.3584584800000001,0.014581820697460612
0.43490000000000073,0.6402899999999999,-1.2181760237142878,0.015453372592796555
0.52,0.9352378571428571,-1.8727309714285714,0.0055068183664852555
0.45,0.7518564285714285,-1.3596338571428572,0.013917469510836833
0.4373000000000009,-0.7277357142857143,-1.2684148880000028,0.013663929292974775
0.436,0.0974935714285714,-1.2376383200000003,0.015260251570205385
0.443,0.7231492857142857,-1.3004366257142859,0.013884585527985438
0.8800000000000003,0.9979471428571427,-3.506060800000002,0.0005169961662119249
0.37000000000000005,-0.011653571428571435,-0.7117880285714288,0.005727666936684805
0.38000000000000006,-0.022387142857142855,-0.760665542857143,0.006312617784133834
0.4319000000000005,0.19483142857142863,-1.1952647400000014,0.015519170667236626
0.9600000000000004,0.9990057142857143,-3.8326052571428595,0.0002981589209323232
0.446,-0.7415057142857144,-1.3264218399999999,0.013743281167814647
0.439,0.18209357142857147,-1.2509305,0.016119246386036012
0.24,0.0018171428571428574,-0.25393234285714283,0.0015271621425110432
0.422,0.15108285714285713,-1.0939638628571429,0.016309328348506957
0.53,0.9416257142857143,-1.9271208857142856,0.005267913460930362
0.08,-0.0016642857142857145,-0.026212342857142856,0.00012935888765387758
0.34,0.009839285714285714,-0.5724181714285714,0.004491286938370642
0.417,-0.11854214285714287,-1.0336310057142857,0.014044704885502801
0.47000000000000003,0.8478778571428572,-1.532483342857143,0.010321743608253886
0.44,-0.10239142857142858,-1.2727402285714287,0.015653107375947606
0.32,0.008924285714285713,-0.4951780571428571,0.003480245644225388
0.4268000000000001,-0.3448371428571429,-1.1196512674285717,0.016090787788025862
0.3,-0.005990714285714285,-0.42105,0.0028700877857143203
0.49500000000000005,0.9018028571428572,-1.7103862285714286,0.007633321838919738
0.04,0.00022357142857142864,-0.006415885714285714,3.188006764408164e-05
0.43010000000000037,-0.10845785714285715,-1.1833316722857155,0.015722317055501867
0.56,0.9591864285714287,-2.0903488,0.004222312898561675
0.441,0.722382142857143,-1.2863881799999999,0.014621119287087758
0.438500000000001,-0.6744750000000002,-1.2515566771428597,0.01678121527515941
0.44450000000000145,0.5978514285714285,-1.3263397400000043,0.014592588485732305
0.44210000000000127,-0.42798285714285716,-1.294789638285718,0.017157008933999185
0.43400000000000066,-0.29002785714285717,-1.2157121200000016,0.01636689468190644
0.16,0.00045214285714285734,-0.10676708571428571,0.0005760788252212271
0.43130000000000046,0.19609071428571426,-1.1829326714285728,0.01682869188812819
0.42980000000000035,-0.31970714285714286,-1.157240184000001,0.016459351478046003
0.7200000000000002,0.9919121428571429,-2.8367712000000007,0.0013760401305606962
0.42710000000000015,-0.07361714285714285,-1.1207799562857146,0.01694919371885817
0.55,0.953615,-2.036356142857143,0.0045424887336933395
0.4361000000000008,-0.4608164285714285,-1.2208457520000024,0.017319158462122175
0.2,0.0012128571428571433,-0.17033771428571431,0.000961362520489794
0.7400000000000002,0.9930942857142857,-2.921849828571429,0.0012493955056864792
0.6600000000000001,0.9855385714285714,-2.5712544000000004,0.0020584004692114632
0.4295000000000003,-0.010270000000000013,-1.1440751028571436,0.017110633866903813
0.44480000000000147,0.5775442857142856,-1.3026107794285757,0.017510732174656596
0.444,0.12419357142857142,-1.2946913142857146,0.016089609323871823
0.414,0.023003571428571432,-0.99416304,0.013289630885386705
0.41,0.07138,-0.9678553714285714,0.010866437494004844
0.43760000000000093,0.06017142857142854,-1.2436992091428598,0.016655442832032463
0.445,-0.7033171428571429,-1.307460857142857,0.01569421418498007
0.45,-0.7765228571428571,-1.3735902857142859,0.011829972134203448
0.35000000000000003,0.007107142857142856,-0.6122540000000001,0.004854579483999921
0.425,0.28558357142857144,-1.1119287142857144,0.014949565346918048
0.43100000000000044,0.05781000000000001,-1.1585058342857155,0.016293111679561045
0.43640000000000084,-0.22017642857142858,-1.2258288971428595,0.016936422298971188
0.37500000000000006,0.004109285714285715,-0.7348542857142859,0.006624187695918327
0.9400000000000004,0.9987992857142857,-3.751223085714288,0.00033830826704317474
0.28,-0.0056271428571428575,-0.36038800000000004,0.0023102321759999878
0.4355000000000008,0.54475,-1.216637685714288,0.01788255497995861
0.4370000000000009,-0.20626000000000005,-1.2439404771428597,0.016374066054229086
0.43370000000000064,0.277565,-1.2043229428571447,0.016073767091888236
0.46,0.8141792857142858,-1.446935257142857,0.011678523488362291
0.8000000000000003,0.9958757142857142,-3.1748914285714305,0.0008671230693817478
0.425,0.05071642857142857,-1.1035525714285714,0.015069234307673263
0.465,-0.8344492857142857,-1.4930127000000002,0.011403253700138283
0.44300000000000134,0.344485,-1.287725057142861,0.01592837610425457
0.43790000000000096,0.6959107142857143,-1.25716836114286,0.015154319899339352
0.18,0.0025485714285714283,-0.13673159999999998,0.0007488592985828608
0.6000000000000001,0.9732892857142856,-2.290248,0.0031747224960012588
0.4262000000000001,0.16705857142857136,-1.1279663074285717,0.01609916412240131
0.4397000000000011,0.6154557142857142,-1.25509349914286,0.016220945928337782
0.4292000000000003,-0.30480500000000005,-1.1473619657142866,0.01674640628618418
